nombre,descripcion o especificaciones,categoria,marca,stock,sku,alto cm,ancho cm,largo cm,peso g,pero kg,precio,precio oferta,link imagen,clase envio
ASUS U2000,KIT Teclado/mouse alambrico ASUS,KIT,ASUS,1,,20,55,5,900,"0,9",$ 420.00,$ 370.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/a/c/ac-393779-3_2_.jpg,
KIT Vorago 104,KIT mouse/teclado Vorago Alambrico,KIT,Vorago,4,AC-395879-1,22,46,5,700,"0,7",$ 250.00,$ 220.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/A/C/AC-395879-1.jpg,
,,,,,,,,,,,,,,
Logitech MK120,Kit mouse Teclado,KIT,Logitech,3,,20,55,5,1000,1,$ 300.00,$ 260.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/A/C/AC-600873-88.jpg,
Teclado Inalambrico Acteck,AC-913973,Teclado,ACTECK,3,AC-443178-6,15,45,5,500,"0,5",$ 270.00,$ 235.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/a/c/ac-443178-6.png,
Logitech Alambrico K120,Teclado Alambrico,Teclado,Logitech,2,AC-445073-1,20,50,5,800,"0,8",$ 180.00,$ 160.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/a/c/ac-445073-1_3_.jpg,
Ocelot OGM-K01,Teclado mecanico SWITCH AZUL OCELOT,Teclado,OCELOT,1,kb-763,20,50,5,1200,"1,2",$ 900.00,$ 750.00,https://me2.grupocva.com/me/imagen/200/10152789.jpg,
TECLADO SCORPION K9,Teclado membrana gaming,Teclado,GENIUS,2,kb-696,22,50,5,900,"0,9",500,475,https://me2.grupocva.com/me/imagen/200/10081947.jpg,
PNY Geforce GTX 1660 super 6GB DDR6,Geforce GTX 1660 super 6GB DDR6,Tarjeta Grafica,PNY,1,,18,40,12,1100,"1,1","$ 6,400.00","$ 6,200.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/1/_/1_-vcg16606sdfmpb-o.jpg,
PNY Geforce GTx 1650 super 4GB DDR6,Geforce GTX 1650 super 4GB DDR6,Tarjeta Grafica,PNY,2,,18,35,6,800,"0,8","$ 4,350.00","$ 4,199.00",https://www.cyberpuerta.mx/img/product/XL/CP-PNY-VCG16504SSFPPB-O-1.jpg,
Saphire Pulse RX 5500 XT 4GB DDR6,Spahire 4.0,Tarjeta Grafica,SAPPHIRE,1,,18,30,10,1000,1,"$ 5,090.00","$ 4,550.00",https://www.cyberpuerta.mx/img/product/M/CP-SAPPHIRE-11295-03-20G-1.jpg,
Saphire Pulse RX 5500 XT 8GB DDR6,SAPPHIRE 8GB DDR6 PCIe 4.0,Tarjeta Grafica,SAPPHIRE,1,,18,30,10,1000,1,"$ 6,100.00","$ 5,500.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/t/v/tv-655472-17.jpg,
CRUCIAL NVME 500 GB,M.2 PCIe 3.0 500GB CT500P188D8,Almacenamiento,CRUCIAL,5,,10,13,3,50,"0,05","$ 1,650.00","$ 1,599.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/c/m/cm-157212-1_1_.jpg,
SSD M.2 120GB Kingston,Kingston SUV500M8,Almacenamiento,Kingston,3,,15,4,2,50,"0,05",$ 700.00,$ 620.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/d/d/dd-453310-2.jpg,
"SSD 480 GB 2.5""",SSD 450 SU630,Almacenamiento,ADATA,10,CM-453785-2,14,13,5,75,"0,075","$ 1,350.00","$ 1,200.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/c/m/cm-453785-2_2_.jpg,
"SSD 480 WD GREEN 2.5""",WD Green WDS480G2G0A,Almacenamiento,WD,10,,15,10,2,100,"0,1","$ 1,350.00","$ 1,200.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/d/d/dd-453185-3_2_.jpg,
WD SSD 240GB,WD SSD 240GB,Almacenamiento,WD,10,DD-453185-2,15,10,3,100,"0,1",$ 720.00,$ 680.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/d/d/dd-453185-2_2_.jpg,
PNY SSD 120 GB,PNY SSD 120 GB,Almacenamiento,PNY,10,,15,10,3,100,"0,1",$ 650.00,$ 550.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/d/d/dd-455385-11_3_.png,
HDD 1TB,WD BLUE,Almacenamiento,WD,10,DD-395311-8,15,10,5,450,"0,45","$ 1,050.00",$ 950.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/d/d/dd-395311-8_wd10ezex_.jpg,
HDD 2TB,WD PURPLE,Almacenamiento,WD,10,DD-393112-2,15,10,5,600,"0,6","$ 1,600.00",1380,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/d/d/dd-393112-2_wd20purz_.jpg,
Corsair CX450M 80 PLUS BRONZE,Corsair CX450M,Fuente Poder,Corsair,2,EN-386093-6,20,27,12,2200,"2,2","$ 1,450.00","$ 1,300.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/E/N/EN-386093-6.jpg,
Cooler Master 500W 80 PLUS WHITE,Cooler Master 500W,Fuente Poder,Cooler Master,1,,22,25,12,2000,2,"$ 1,450.00","$ 1,300.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/e/n/en-383593-1.jpg,
YEYIAN RAIDEN 650W 80 PLUS BRONZE,YEYIAN RAIDEN 650W,Fuente Poder,YEYIAN,1,,20,30,10,2100,"2,1","$ 1,450.00","$ 1,300.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/e/n/en-386996-2.png,
,,,,,,,,,,,,,,
Corsair CX650 80 Plus Bronze,Corsair CX650 80 Plus Bronze,Fuente Poder,CORSAIR,5,,20,30,15,2400,"2,4","$ 1,800.00","$ 1,650.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/e/n/en-386096-11.png,
smartbit 1100W,1100W,Regulador,SMARBIT,2,,10,30,10,2000,2,$ 500.00,$ 390.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/e/n/en-437396-1.jpg,
HP ADVANGE 2134,Impresora,Impresora,HP,2,,35,47,18,4500,"4,5",$ 900.00,$ 700.00,https://http2.mlstatic.com/D_NQ_NP_748868-MLA32494139050_102019-O.jpg,
ECS A320AM4-M3D,TARJETA MADRE,tarjeta Madre,ECS,3,,35,30,10,900,,"$ 1,450.00","$ 1,300.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/t/m/tm-353114-1_2_.jpg,
,,,,,,,,,,,,,,
AORUS B450 AORUS ELITE,Tarjeta madre AM4 para RYZEN,tarjeta Madre,AORUS,1,,27,34,8,1500,"1,5",3800,3680,https://www.cyberpuerta.mx/img/product/M/CP-GIGABYTE-B450AORUSPROWIFI-1.jpg,
GIGABYTE B450GAMING X,Tarjeta madre AM4 para RYZEN,tarjeta Madre,GIGABYTE,2,,27,34,8,1300,"1,3",3500,2999,https://www.pcstudio.in/wp-content/uploads/2020/01/GIGABYTE-B450-GAMING-X-MOTHERBOARD-3.jpg,
