sku,alto,inventario,id_seccion,id_linea,ancho,skuFabricante,peso_bruto,volumen,precio,upc,marca,serie,seccion,moneda,id_marca,descripcion,id_serie,peso_neto,largo,linea,image_url,precio_final,stock
740617325683-K,3.49,Array,6810,10517,0.66,KF560C40BB-16,0.04,0,138.58,740617325683,KINGSTON,16GB,COMPONENTES,USD,7004,"MEMORIA DDR5 KINGSTON FURY BEASTBLACK 16GB 6000MHZ DIMM (KF560C40BB-16)",10480,0.04,13.34,"RAM PARA DESKTOP",https://drakelfo.local/pch-importer/images/740617325683-K.jpg,3858,31
7503030903899-X,83,Array,6865,11516,28,XZSXZ52P,24,0.137116,2607.61,7503030903899,XZEAL,TELA,MOBILIARIO,MXN,7105,"SILLA GAMER XZEAL CON REPOSAPIES COLOR ROSA (XZSXZ52P)",10901,24,59,SILLAS,https://drakelfo.local/pch-importer/images/7503030903899-X.jpg,3629.79312,4
7503030903905-X,83,Array,6865,11516,28,XZSXZ52A,24,0.137116,2607.61,7503030903905,XZEAL,TELA,MOBILIARIO,MXN,7105,"SILLA GAMER XZEAL CON REPOSAPIES COLOR AZUL (XZSXZ52A)",10901,24,59,SILLAS,https://drakelfo.local/pch-importer/images/7503030903905-X.jpg,3629.79312,1
7503030903912-X,83,Array,6865,11516,28,XZSXZ52R,24,0.137116,2607.61,7503030903912,XZEAL,TELA,MOBILIARIO,MXN,7105,"SILLA GAMER XZEAL CON REPOSAPIES COLOR ROJO (XZSXZ52R)",10901,24,59,SILLAS,https://drakelfo.local/pch-importer/images/7503030903912-X.jpg,3629.79312,1
7503030903929-X,83,Array,6865,11516,28,XZSXZ52W,24,0.137116,2607.61,7503030903929,XZEAL,TELA,MOBILIARIO,MXN,7105,"SILLA GAMER XZEAL CON REPOSAPIES COLOR BLANCO (XZSXZ52W)",10901,24,59,SILLAS,https://drakelfo.local/pch-importer/images/7503030903929-X.jpg,3629.79312,2
4711085936905-X,0.15,Array,6810,10517,12,AX5U6000C4016G-DCLARBK,0.15,0,261.72,4711085936905,XPG,32GB,COMPONENTES,USD,12220,"MEM DDR5 XPG LANCER 32GB(2x16)6000MHZ RGB BLK (AX5U6000C4016G-DCLARBK)",10481,0.15,15,"RAM PARA DESKTOP",https://drakelfo.local/pch-importer/images/4711085936905-X.jpg,7286,67
815530015574-P,3,Array,6810,11510,0.3,PSD34G1600L81S,0.01,0,14.15,815530015574,PATRIOT,4GB,COMPONENTES,USD,7003,"MEMORIA DDR3 PATRIOT SIGNATURE 4GB 1600MHz SODIMM (PSD34G1600L81S)",10493,0.01,6.9,"RAM PARA LAPTOP",https://drakelfo.local/pch-importer/images/815530015574-P.jpg,394,2
763649110874-S-RF,2.61,Array,6810,11458,10.18,ST8000VN0022(RF),0.78,0,192.58,763649110874,SEAGATE,RECERTIFICADO,COMPONENTES,USD,7006,"RECERTIFIED)DISCO DURO INTERNO SEAGATE 8TB 3.5 ST8000VN0022 IRONWOLF",12234,0.78,14.69,"DISCOS INTERNOS",https://drakelfo.local/pch-importer/images/763649110874-S-RF.jpg,5361,14
763649098226-S-RF,2.61,Array,6810,11458,10.18,ST6000NE0021(RF),0.65,0,161.32,763649098226,SEAGATE,RECERTIFICADO,COMPONENTES,USD,7006,"(RECERTIFIED)DISCO DURO INTERNO SEAGATE 6TB ST6000NE0021 IRONWOLF PRO",12234,0.65,14.69,"DISCOS INTERNOS",https://drakelfo.local/pch-importer/images/763649098226-S-RF.jpg,4491,8
763649113653-S-RF,2.02,Array,6810,11458,10.16,ST2000DM008(RF),0.63,0,39.57,763649113653,SEAGATE,RECERTIFICADO,COMPONENTES,USD,7006,"(RECERTIFIED)DISCO DURO INTERNO SEAGATE 2TB 3.5 ST2000DM008 BARRACUDA",12234,0.63,14.7,"DISCOS INTERNOS",https://drakelfo.local/pch-importer/images/763649113653-S-RF.jpg,1102,4
763649092132-S-RF,2.61,Array,6810,11458,10.18,ST6000VX001(RF),0.49,0,125.65,763649092132,SEAGATE,RECERTIFICADO,COMPONENTES,USD,7006,"(RECERTIFIED)DISCO DURO INTERNO SEAGATE 6TB 3.5 ST6000VX001 SKYHAWK",12234,0.49,14.69,"DISCOS INTERNOS",https://drakelfo.local/pch-importer/images/763649092132-S-RF.jpg,3498,1
718037840161-W-RF,0,Array,6810,11458,0,WD40EZRZ(RF),0,0,131.87,718037840161,"WESTERN DIGITAL",RECERTIFICADO,COMPONENTES,USD,7007,"(RECERTIFIED)DISCO DURO INTERNO WD 4TB 3.5"" WD40EZRZ 64MB SATA3 5400RP",12234,0,0,"DISCOS INTERNOS",https://drakelfo.local/pch-importer/images/718037840161-W-RF.jpg,3671,6
195553508018-A,27.5,Array,6810,11524,6.75,"PRIME B660M-A D4",1.15,0.0051046875,118.22,195553508018,ASUS,1700,COMPONENTES,USD,7039,"TARJETA MADRE ASUS PRIME B660M-A D4 LGA 1700/DDR4/DIMM/MATX",12230,1.15,27.5,"TARJETAS MADRE",https://drakelfo.local/pch-importer/images/195553508018-A.jpg,3291,32
7500619006828-C,43.8,Array,6855,11493,38,UPO11-2RTAX,21.4,0.01464672,15944.18,7500619006828,CDP,2KVA,ENERGIA,MXN,7073,"NO BREAK / UPS MARCA CDP UPO11-2 RTAX 2KVA/1.8KW ON LINE SENOIDAL",10669,21.4,8.8,"NO BREAKS",https://drakelfo.local/pch-importer/images/7500619006828-C.jpg,21269.53612,1
889349099322-A,40.64,Array,6862,10783,10.79,MG278Q,2.26,0.010243490816,353.59,889349099322,ASUS,WQHD,MONITORES,USD,7039,"MONITOR ASUS MG278Q 27"" WQHD (2560 x 1440) 144HZ/1MS/FPS/HDMI/DP",10878,2.26,23.36,"27""",https://drakelfo.local/pch-importer/images/889349099322-A.jpg,9844,13
884116411253-D,1.89,Array,6856,11480,20.87,6FKT7,1.22,0.00127799532,35412.06,884116411253,DELL,CI7,COMPUTO,MXN,7040,"LAPTOP DELL LATITUDE 7420 14"" i7 -1185G7 16GB 512SSD W10P 3WTY (6FKT7)",10512,1.22,32.4,LAPTOPS,https://drakelfo.local/pch-importer/images/884116411253-D.jpg,49293.58752,12
884116408680-D,1.7,Array,6856,11480,21.28,72TCD,1.44,0.00116233488,14726.32,884116408680,DELL,"RYZEN 5",COMPUTO,MXN,7040,"LAPTOP DELL VOSTRO 5415 14"" AMD R5-5500U 8GB 256SSD W10P 1WT 72TCD",10611,1.44,32.13,LAPTOPS,https://drakelfo.local/pch-importer/images/884116408680-D.jpg,20499.03744,2
840046045760-B,61.2,Array,6862,10783,55.2,9H.LKNLB.QBL,8.7,0.080739936,5731.18,840046045760,BENQ,LED,MONITORES,MXN,7036,"MONITOR BENQ GW2785TC 27"" 1920x1080 IPS 5MS ERGO USB-C HDMI DP NEGRO",10541,8.7,23.9,"27""",https://drakelfo.local/pch-importer/images/840046045760-B.jpg,7977.80256,2
840046045562-B,53.9,Array,6862,11416,21.66,9H.LKELA.TBL,8.5,0.0716829036,7432.26,840046045562,BENQ,GAMER,MONITORES,MXN,7036,"MONITOR BENQ EX2510S MOBIUZ 24.5"" 1920x1080 IPS 165Hz 2MS HDMI HDR10 V",10479,8.5,61.4,"24.5""",https://drakelfo.local/pch-importer/images/840046045562-B.jpg,10345.70592,2
751492637396-P,17,Array,6810,6883,9,VCG16504D6DFPPB-TF,0.8,0.003825,256.68,751492637396,PNY,NVIDIA,COMPONENTES,USD,7087,"TARJETA DE VIDEO PNY VCG16504D6DFPPB-TF GTX 1650 4GB GDDR6 DUAL FAN",10874,0.8,25,"TARJETAS DE VIDEO",https://drakelfo.local/pch-importer/images/751492637396-P.jpg,7146,71
195553145350-A,36.32,Array,6854,11469,12.65,"ROG STRIX LC II 360",2.29,0.007236306,170.58,195553145350,ASUS,360MM,"GABINETES Y ENFRIAMIENTO",USD,7039,"ENFRIAMIENTO LIQUIDO ASUS ROG STRIX LC II 360 AURA SYNC 360MM",10561,2.29,15.75,"ENFRIAMIENTO LIQUIDO",https://drakelfo.local/pch-importer/images/195553145350-A.jpg,4749,1
840046045579-B,54,Array,6862,10783,22,9H.LKFLA.TBL,6,0.073656,7688.17,840046045579,BENQ,GAMER,MONITORES,MXN,7036,"MONITOR BENQ EX2710S MOBIUZ 27"" 1920x1080 IPS 165HZ 2MS HDR HDMI VESA",10479,6,62,"27""",https://drakelfo.local/pch-importer/images/840046045579-B.jpg,10701.93264,1
840046045296-B,53,Array,6862,10783,22,9H.LK4LA.TBL,8.5,0.072292,11959.14,840046045296,BENQ,GAMER,MONITORES,MXN,7036,"MONITOR BENQ EX2710Q MOBIUZ 27"" 2560x1440 IPS 165HZ 2MS HDR HDMI DP VE",10479,8.5,62,"27""",https://drakelfo.local/pch-importer/images/840046045296-B.jpg,16647.12288,1
195042788365-L,32.3,Array,6856,11480,1.79,20VD0004LM,1.4,0.0012604106,18557.4,195042788365,"LENOVO THINK",CI5,COMPUTO,MXN,7047,"LAPTOP LENOVO THINKBOOK 14"" CI5 8GB 256SSD W10P 20VD0004LM",10610,1.4,21.8,LAPTOPS,https://drakelfo.local/pch-importer/images/195042788365-L.jpg,25831.9008,19
7503026779606-Q,11.8,Array,6856,11489,16.4,QMPW19050-W10PRO,0.24,0.003018912,307.85,7503026779606,QIAN,CI5,COMPUTO,USD,11569,"MINI PC QIAN QMPW1905-W10PRO XIAO CORE I5, 4GB, 64GB, WIFI, ETHERNET",10610,0.24,15.6,"MINI PC",https://drakelfo.local/pch-importer/images/7503026779606-Q.jpg,8571,1
735858503129-I,10.5,Array,6810,11505,12.1,BX8071512700,0.46,0.001003695,312.22,735858503129,INTEL,CI7,COMPONENTES,USD,7086,"CPU INTEL COREI7-12700 2.1GHZ 25MB 65W SOC 1700 12TH GEN BX8071512700",10512,0.46,7.9,PROCESADORES,https://drakelfo.local/pch-importer/images/735858503129-I.jpg,8692,287
8806091567116-L,36.5,Array,6862,11410,12.4,22MP410-B,3.5,0.0289664,2688.17,8806091567116,LG,LED,MONITORES,MXN,7014,"MONITOR LG 22MP410-B LED 21.5"" VA 1920x1080 AMD VESA HDMI D-SUB 75HZ",10541,3.5,64,"21.5""",https://drakelfo.local/pch-importer/images/8806091567116-L.jpg,3741.93264,205
8806091354075-L,42.1,Array,6862,11415,18.19,24MP400-B,4.2,0.0425018445,3010.75,8806091354075,LG,LED,MONITORES,MXN,7014,"MONITOR LG 24MP400-B LED 23.8"" IPS 1920x1080 AMD VESA HDMI D-SUB 75HZ",10541,4.2,55.5,"23.8""",https://drakelfo.local/pch-importer/images/8806091354075-L.jpg,4190.964,185
735858503877-I,10.5,Array,6810,11505,12.1,BX8071512100,0.46,0.001003695,119.58,735858503877,INTEL,CI3,COMPONENTES,USD,7086,"CPU INTEL COREI3-12100 3.3GHZ 12MB 60W SOC 1700 12TH GEN BX8071512100",10609,0.46,7.9,PROCESADORES,https://drakelfo.local/pch-importer/images/735858503877-I.jpg,3329,537
735858504423-I,10.5,Array,6810,11505,12.1,BX8071512100F,0.46,0.001003695,92.6,735858504423,INTEL,CI3,COMPONENTES,USD,7086,"CPU INTEL COREI3-12100F 3.3GHZ 12MB 58WSOC 1700 12TH GEN BX8071512100F",10609,0.46,7.9,PROCESADORES,https://drakelfo.local/pch-importer/images/735858504423-I.jpg,2578,190
735858503839-I,10.5,Array,6810,11505,12.1,BX80715G7400,0.46,0.001003695,69.33,735858503839,INTEL,PENTIUM,COMPONENTES,USD,7086,"CPU INTEL PENTIUM G7400 3.7GHZ 6MB 46W SOC 1700 12TH GEN BX80715G7400",10622,0.46,7.9,PROCESADORES,https://drakelfo.local/pch-importer/images/735858503839-I.jpg,1930,44
735858503020-I,10.5,Array,6810,11505,12.1,BX8071512400,0.46,0.001003695,186.4,735858503020,INTEL,CI5,COMPONENTES,USD,7086,"CPU INTEL COREI5-12400 2.5GHZ 18MB 65W SOC 1700 12TH GEN BX8071512400",10610,0.46,7.9,PROCESADORES,https://drakelfo.local/pch-importer/images/735858503020-I.jpg,5189,111
097855167637-L,18.59,Array,6850,10624,8,910-006250,0.14,0.001918488,559.78,097855167637,LOGITECH,INALAMBRICO,"TECLADOS & MOUSES",MXN,7100,"MOUSE LOGITECH M650 BT USB SILENT M. DERECHA MED GRAFITO (910-006250)",10537,0.14,12.9,MOUSE,https://drakelfo.local/pch-importer/images/097855167637-L.jpg,779.21376,28
097855167644-L,18.59,Array,6850,10624,8,910-006251,0.14,0.001918488,559.78,097855167644,LOGITECH,INALAMBRICO,"TECLADOS & MOUSES",MXN,7100,"MOUSE LOGITECH M650 BT USB SILENT M. DERECHA MED ROSA (910-006251)",10537,0.14,12.9,MOUSE,https://drakelfo.local/pch-importer/images/097855167644-L.jpg,779.21376,8
097855167651-L,18.59,Array,6850,10624,8,910-006252,0.14,0.001918488,559.78,097855167651,LOGITECH,INALAMBRICO,"TECLADOS & MOUSES",MXN,7100,"MOUSE LOGITECH M650 BT USB SILENT M. DERECHA MED BLANCO (910-006252)",10537,0.14,12.9,MOUSE,https://drakelfo.local/pch-importer/images/097855167651-L.jpg,779.21376,8
097855167583-L,18.59,Array,6850,10624,8,910-006231,0.14,0.001918488,593.48,097855167583,LOGITECH,INALAMBRICO,"TECLADOS & MOUSES",MXN,7100,"MOUSE LOGITECH M650 BT USB SILENT M. DERECHA GDE GRAFITO (910-006231)",10537,0.14,12.9,MOUSE,https://drakelfo.local/pch-importer/images/097855167583-L.jpg,826.12416,32
097855167613-L,18.59,Array,6850,10624,8,910-006234,0.14,0.001918488,593.48,097855167613,LOGITECH,INALAMBRICO,"TECLADOS & MOUSES",MXN,7100,"MOUSE LOGITECH M650 BT USB SILENT M.IZQUIERDA GDE GRAFITO (910-006234)",10537,0.14,12.9,MOUSE,https://drakelfo.local/pch-importer/images/097855167613-L.jpg,826.12416,12
097855167606-L,18.59,Array,6850,10624,8,910-006233,0.14,0.001918488,593.48,097855167606,LOGITECH,INALAMBRICO,"TECLADOS & MOUSES",MXN,7100,"MOUSE LOGITECH M650 BT USB SILENT M. DERECHA GDE BLANCO (910-006233)",10537,0.14,12.9,MOUSE,https://drakelfo.local/pch-importer/images/097855167606-L.jpg,826.12416,8
4711085937094-X,2.2,Array,6810,10517,0.06,AX5U6000C4016G-CCARGY,0.79,0,138.38,4711085937094,XPG,16GB,COMPONENTES,USD,12220,"MEMORIA DDR5 XPG CASTER 16GB 6000MHZ RGB UDIMM (AX5U6000C4016G-CCARGY)",10480,0.79,13,"RAM PARA DESKTOP",https://drakelfo.local/pch-importer/images/4711085937094-X.jpg,3852,5
4711085935823-A,6,Array,6810,11534,0.05,ALEG-740-250GCS,0.46,0,28.81,4711085935823,ADATA,250GB,COMPONENTES,USD,7005,"UNIDAD SSD M.2 ADATA LEGEND 740 PCIe G3 250 GB (ALEG-740-250GCS)",10491,0.46,15,"UNIDADES SSD M.2",https://drakelfo.local/pch-importer/images/4711085935823-A.jpg,802,97
4710483936098-A,30.7,Array,6810,11524,12.5,"Z690 TAICHI",1,0.014467375,512.17,4710483936098,ASROCK,1700,COMPONENTES,USD,7082,"TARJETA MADRE ASROCK Z690 TAICHI SOC 1700 HDMI, DP,DDR5,USB 3.2 TYPE C",12230,1,37.7,"TARJETAS MADRE",https://drakelfo.local/pch-importer/images/4710483936098-A.jpg,14259,58
