sku,alto,inventario,id_seccion,id_linea,ancho,skuFabricante,peso_bruto,volumen,precio,upc,marca,serie,seccion,moneda,id_marca,descripcion,id_serie,peso_neto,largo,linea,image_url,precio_final,stock
7502266679066-G,12.2,Array,6854,11840,0.29,FG400,0.1,,6.38,7502266679066,"GAME FACTOR",GAMER,"GABINETES Y ENFRIAMIENTO",USD,12208,"VENTILADOR ADICIONAL GAME FACTOR PARA FKG400 120MM/RGB+ARCOIRIS FG400",10479,0.1,14,VENTILADORES,https://drakelfo.mx/pch-importer/images/7502266679066-G.jpg,178,22
7502266678007-G,89,Array,6865,11516,37,CGC601-BL,25,,229.79,7502266678007,"GAME FACTOR",GAMER,MOBILIARIO,USD,12208,"SILLA GAME FACTOR TELA RECLINABLE 4D, METAL NEGRO/AZUL CGC601-BL",10479,25,60,SILLAS,https://drakelfo.mx/pch-importer/images/7502266678007-G.jpg,6397,1
7502266678014-G,89,Array,6865,11516,37,CGC601-WH,2.5,,229.79,7502266678014,"GAME FACTOR",GAMER,MOBILIARIO,USD,12208,"SILLA GAME FACTOR TELA RECLINABLE 4D, METAL NEGRO/BLANCO CGC601-WH",10479,2.5,60,SILLAS,https://drakelfo.mx/pch-importer/images/7502266678014-G.jpg,6397,1
7502266678021-G,89,Array,6865,11516,37,CGC601-RD,250,,229.79,7502266678021,"GAME FACTOR",GAMER,MOBILIARIO,USD,12208,"SILLA GAME FACTOR TELA RECLINABLE 4D, METAL NEGRO/ROJO CGC601-RD",10479,250,60,SILLAS,https://drakelfo.mx/pch-importer/images/7502266678021-G.jpg,6397,1
7502266676614-G,70,Array,6865,11516,132,CGC600-BL,19.1,,180.85,7502266676614,"GAME FACTOR",GAMER,MOBILIARIO,USD,12208,"SILLA GAME FACTOR TELA RECLINABLE 4D, METAL NEGRA/AZUL CGC600-BL",10479,19.1,70,SILLAS,https://drakelfo.mx/pch-importer/images/7502266676614-G.jpg,5035,2
7502266676980-G,70,Array,6865,11516,132,CGC600-WH,19.1,,180.85,7502266676980,"GAME FACTOR",GAMER,MOBILIARIO,USD,12208,"SILLA GAME FACTOR TELA RECLINABLE 4D, METAL NEGRA/BLANCA CGC600-WH",10479,19.1,70,SILLAS,https://drakelfo.mx/pch-importer/images/7502266676980-G.jpg,5035,1
7502266676973-G,70,Array,6865,11516,132,CGC600-RD,19.1,,180.85,7502266676973,"GAME FACTOR",GAMER,MOBILIARIO,USD,12208,"SILLA GAME FACTOR TELA RECLINABLE 4D, METAL NEGRA/ROJA CGC600-RD",10479,19.1,70,SILLAS,https://drakelfo.mx/pch-importer/images/7502266676973-G.jpg,5035,2
7502266678649-S,83,Array,6865,11516,35,CGC500-BL,52,,180.85,7502266678649,"START THE GAME",GAMER,MOBILIARIO,USD,12207,"SILLA VORAGO START THE GAME TELA RECLINABLE 2D NEGRO/AZUL CGC500-BL",10479,52,66,SILLAS,https://drakelfo.mx/pch-importer/images/7502266678649-S.jpg,5035,4
7502266678656-S,83,Array,6865,11516,32,CGC500-RD,25,,180.85,7502266678656,"START THE GAME",GAMER,MOBILIARIO,USD,12207,"SILLA VORAGO START THE GAME TELA RECLINABLE 2D NEGRO/ROJO CGC500-RD",10479,25,65,SILLAS,https://drakelfo.mx/pch-importer/images/7502266678656-S.jpg,5035,5
7502266679417-G,41.2,Array,6862,11415,11.3,"MG500 V2",4,,188.17,7502266679417,"GAME FACTOR",GAMER,MONITORES,USD,12208,"MONITOR GAME FACTOR 23.8"" 144HZ, 1MS, 1 DP, 1 HDMI, FRAMELESS MG500-V2",10479,4,60.6,"23.8""",https://drakelfo.mx/pch-importer/images/7502266679417-G.jpg,5239,9
7502266678670-G,13.5,Array,6862,11517,2.5,SMG500,0.5,,35.11,7502266678670,"GAME FACTOR",GAMER,MONITORES,USD,12208,"STAND MONITOR GAME FACTOR VESA, SUBE BAJA, ESCRITORIO NEGRO SMG500",10479,0.5,15.5,SOPORTES,https://drakelfo.mx/pch-importer/images/7502266678670-G.jpg,977,4
7502266673316-V,25,Array,6850,10494,3,KMS-104,2,,13.83,7502266673316,VORAGO,ALAMBRICO,"TECLADOS & MOUSES",USD,7090,"KIT TECLADO / MOUSE / BOCINAS VORAGO KMS-104",10546,2,45,KIT,https://drakelfo.mx/pch-importer/images/7502266673316-V.jpg,385,39
7502266673859-V,43.6,Array,6850,10494,2,KM-302,0.39,,11.17,7502266673859,VORAGO,INALAMBRICO,"TECLADOS & MOUSES",USD,7090,"KIT TECLADO Y MOUSE VORAGO KM-302 INALAMBRICO NEGRO",10537,0.39,13.5,KIT,https://drakelfo.mx/pch-importer/images/7502266673859-V.jpg,311,71
7502266673866-V,43,Array,6850,10494,2.2,KM-303,0.55,,10.21,7502266673866,VORAGO,INALAMBRICO,"TECLADOS & MOUSES",USD,7090,"KIT TECLADO Y MOUSE VORAGO KM-303 INALAMBRICO MULTIMEDIA NEGRO",10537,0.55,17.2,KIT,https://drakelfo.mx/pch-importer/images/7502266673866-V.jpg,284,4
7502266678625-V,11,Array,6850,10494,5.5,KM-304,0.75,,11.17,7502266678625,VORAGO,INALAMBRICO,"TECLADOS & MOUSES",USD,7090,"KIT TECLADO Y MOUSE VORAGO KM-304 INALAMBRICO MULTIMEDIA NEGRO",10537,0.75,7.5,KIT,https://drakelfo.mx/pch-importer/images/7502266678625-V.jpg,311,52
7502266674641-V,2.2,Array,6850,10494,14.6,KM-105,0.45,,7.26,7502266674641,VORAGO,ALAMBRICO,"TECLADOS & MOUSES",USD,7090,"KIT VORAGO KM-105 TECLADO Y MOUSE ALAMBRICO MULTIMEDIA USB",10546,0.45,40.3,KIT,https://drakelfo.mx/pch-importer/images/7502266674641-V.jpg,202,1
7502266675945-S,12.4,Array,6850,10494,4,KM-500,0.83,,14.36,7502266675945,"START THE GAME",GAMER,"TECLADOS & MOUSES",USD,12207,"KIT VORAGO START THE GAME TECLADO Y MOUSE RETROILUMINADO USB KM-500",10479,0.83,7.1,KIT,https://drakelfo.mx/pch-importer/images/7502266675945-S.jpg,400,20
7502266677437-S,16.8,Array,6850,10494,3,KMH-501,0.85,,34.04,7502266677437,"START THE GAME",GAMER,"TECLADOS & MOUSES",USD,12207,"KIT VORAGO START THE GAME TECLADO/MOUSE/HEADSET/TAPETE KMH-501",10479,0.85,46.3,KIT,https://drakelfo.mx/pch-importer/images/7502266677437-S.jpg,948,10
7502266676133-V,0.4,Array,6850,10494,20,KM-106,0.04,,7.18,7502266676133,VORAGO,ALAMBRICO,"TECLADOS & MOUSES",USD,7090,"KIT VORAGO TECLADO Y MOUSE ALAMBRICO MULTIMEDIA USB KM-106",10546,0.04,30,KIT,https://drakelfo.mx/pch-importer/images/7502266676133-V.jpg,200,16
7502266678946-G,16,Array,6850,10624,6.5,MOG501,0.18,,18.46,7502266678946,"GAME FACTOR",GAMER,"TECLADOS & MOUSES",USD,12208,"MOUSE GAME FACTOR PIXART 3327 6.2 KDPI 7BOTONES RGB NEGRO MOG501",10479,0.18,8.5,MOUSE,https://drakelfo.mx/pch-importer/images/7502266678946-G.jpg,514,11
7502266678960-G,16,Array,6850,10624,6.5,MOG601-WH,0.18,,26.68,7502266678960,"GAME FACTOR",GAMER,"TECLADOS & MOUSES",USD,12208,"MOUSE GAME FACTOR PIXART 3389 16 KDPI 7BOTONES RGB BLANCO MOG601-WH",10479,0.18,8.5,MOUSE,https://drakelfo.mx/pch-importer/images/7502266678960-G.jpg,743,27
7502266678953-G,16,Array,6850,10624,6.5,MOG601-BK,0.18,,26.68,7502266678953,"GAME FACTOR",GAMER,"TECLADOS & MOUSES",USD,12208,"MOUSE GAME FACTOR PIXART 3389 16 KDPI 7BOTONES RGB NEGRO MOG601-BK",10479,0.18,8.5,MOUSE,https://drakelfo.mx/pch-importer/images/7502266678953-G.jpg,743,8
7502266678977-G,16,Array,6850,10624,6.5,MOG601-PK,0.18,,26.68,7502266678977,"GAME FACTOR",GAMER,"TECLADOS & MOUSES",USD,12208,"MOUSE GAME FACTOR PIXART 3389 16 KDPI 7BOTONES RGB ROSA MOG601-PK",10479,0.18,8,MOUSE,https://drakelfo.mx/pch-importer/images/7502266678977-G.jpg,743,15
